relationship,run_id,run,method,seed,target_module,layer,predictor,outcome,slope,intercept,correlation,r_squared,n_points
delta_m_vs_delta_d,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,q_proj,,delta_direction,delta_magnitude_paper,0.7570993508240929,0.0004285351029517813,0.9929898474967414,0.9860288372316016,24
delta_m_vs_delta_d,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,q_proj,,delta_direction,delta_magnitude_rel,1.036543988012847,-0.0003131053570282534,0.993718411556021,0.9874762814654215,24
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,q_proj,0.0,checkpoint_fraction,coefficient_update_rel,0.059672039747238156,0.07228055596351622,0.945180763002955,0.8933666747508481,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,q_proj,1.0,checkpoint_fraction,coefficient_update_rel,0.03772619813680648,0.05252667143940924,0.9315857752212701,0.8678520565946147,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,q_proj,2.0,checkpoint_fraction,coefficient_update_rel,0.04750430434942247,0.05388093739747998,0.9366539478922205,0.8773206181020824,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,q_proj,3.0,checkpoint_fraction,coefficient_update_rel,0.045370735228061655,0.055410534143447876,0.9351467559540857,0.8744994551714503,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,q_proj,4.0,checkpoint_fraction,coefficient_update_rel,0.046718785166740405,0.052591204643249505,0.9336949201100718,0.8717862038393535,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,q_proj,5.0,checkpoint_fraction,coefficient_update_rel,0.05077329725027081,0.05507024750113489,0.9361098290823523,0.8763016121045908,4
delta_m_vs_delta_d,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,up_proj,,delta_direction,delta_magnitude_rel,1.0649328541510081,0.0007756057672102833,0.9985816314627575,0.9971652746948224,24
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,up_proj,0.0,checkpoint_fraction,coefficient_update_rel,0.1054361581802368,0.10644520819187162,0.9330067222177967,0.8705015437035968,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,up_proj,1.0,checkpoint_fraction,coefficient_update_rel,0.09433042705059043,0.10982263833284385,0.9307140326183779,0.866228610512763,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,up_proj,2.0,checkpoint_fraction,coefficient_update_rel,0.09185203611850737,0.10983339697122572,0.9304287510119474,0.8656976607096525,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,up_proj,3.0,checkpoint_fraction,coefficient_update_rel,0.08280901312828064,0.1152007207274437,0.9267701652339274,0.8589029391677211,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,up_proj,4.0,checkpoint_fraction,coefficient_update_rel,0.08367316424846648,0.10607785731554026,0.9267846067161375,0.8589297072459856,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,up_proj,5.0,checkpoint_fraction,coefficient_update_rel,0.08133813142776486,0.10337390005588533,0.9268893779205112,0.8591239189018722,4
delta_m_vs_delta_d,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,v_proj,,delta_direction,delta_magnitude_paper,0.36313935519749513,0.0012574269472725226,0.9559406191364823,0.9138224673150411,24
delta_m_vs_delta_d,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,v_proj,,delta_direction,delta_magnitude_rel,1.0343850467376707,0.0006375339458840624,0.9970509027114313,0.99411050259768,24
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,v_proj,0.0,checkpoint_fraction,coefficient_update_rel,0.07782677412033086,0.12835932523012153,0.9206985183396311,0.8476857616727921,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,v_proj,1.0,checkpoint_fraction,coefficient_update_rel,0.06759995222091672,0.12073099613189696,0.9235424543505532,0.8529306649878435,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,v_proj,2.0,checkpoint_fraction,coefficient_update_rel,0.09591241478919983,0.14602840691804883,0.9238597880669863,0.8535169080071768,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,v_proj,3.0,checkpoint_fraction,coefficient_update_rel,0.0825182020664215,0.12148802727460857,0.9255066122989228,0.8565624894090287,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,v_proj,4.0,checkpoint_fraction,coefficient_update_rel,0.07887514233589173,0.1139358282089233,0.9327320473811745,0.8699890722118776,4
coefficient_update_vs_checkpoint,lora-match-seed43,LoRA lr-match (seed 43),LoRA lr-match,43,v_proj,5.0,checkpoint_fraction,coefficient_update_rel,0.093160080909729,0.13187721371650693,0.9294312791235868,0.8638425026133068,4
delta_m_vs_delta_d,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,down_proj,,delta_direction,delta_magnitude_rel,2.8150655733182592,0.004037327633579296,0.561646622844817,0.31544692895298815,24
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,down_proj,0.0,checkpoint_fraction,coefficient_update_rel,0.007349108159542082,0.05767701566219329,0.8105116304215272,0.6569291030485622,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,down_proj,1.0,checkpoint_fraction,coefficient_update_rel,0.005828650295734384,0.04544530250132085,0.7864635511310216,0.618524917257617,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,down_proj,2.0,checkpoint_fraction,coefficient_update_rel,0.007515771687030797,0.05490780994296071,0.8145306011807187,0.663460100259823,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,down_proj,3.0,checkpoint_fraction,coefficient_update_rel,0.008619362115859975,0.05439885705709455,0.8103886274694466,0.6567297275318136,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,down_proj,4.0,checkpoint_fraction,coefficient_update_rel,0.00877444744110107,0.055508131161332123,0.8113188175795895,0.6582382237587432,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,down_proj,5.0,checkpoint_fraction,coefficient_update_rel,0.008757907152175917,0.05553841218352316,0.7881560105029616,0.6211898968919445,4
delta_m_vs_delta_d,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,k_proj,,delta_direction,delta_magnitude_rel,0.8350027271260694,0.004912382194012821,0.20878104357877014,0.043589524157840315,24
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,k_proj,0.0,checkpoint_fraction,coefficient_update_rel,0.0030445277690887363,0.032025886699557304,0.813632696859091,0.6619981653981974,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,k_proj,1.0,checkpoint_fraction,coefficient_update_rel,0.0038529835641384165,0.01890718471258878,0.8414168350871692,0.7079822903681086,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,k_proj,2.0,checkpoint_fraction,coefficient_update_rel,0.0029471285641193357,0.020974405109882358,0.8329896484207855,0.6938717543761839,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,k_proj,3.0,checkpoint_fraction,coefficient_update_rel,0.003989437222480771,0.020989548414945602,0.8300232176096062,0.6889385417710037,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,k_proj,4.0,checkpoint_fraction,coefficient_update_rel,0.004547074437141415,0.021682308055460453,0.8374540099636907,0.7013292188042654,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,k_proj,5.0,checkpoint_fraction,coefficient_update_rel,0.004299259930849078,0.023431463167071332,0.81736076384582,0.6680786182746223,4
delta_m_vs_delta_d,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,q_proj,,delta_direction,delta_magnitude_paper,1.3046807658942425,0.006053621371867769,0.2934872077981461,0.08613474114115217,24
delta_m_vs_delta_d,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,q_proj,,delta_direction,delta_magnitude_rel,1.4212927822741401,0.006993649394105453,0.2712897333642523,0.07359811942884709,24
